gene local.h2 local.se global.h2 global.se
FAM188A 0.058239 0.025042 0.061400 0.333888
SIM2 0.051044 0.021401 0.000001 0.416734
DPF2 0.051044 0.021401 0.000001 0.416734
FAM166B 0.057584 0.025963 0.366717 0.350068
NAGS 0.043413 0.024322 0.000001 0.442274
LBH 0.042562 0.025436 0.000001 0.451606
STT3A 0.057124 0.024139 0.477803 0.379353
ZNF664 0.049268 0.022617 0.000001 0.427897
CR1 0.042967 0.025080 0.000001 0.490690
SERPINI1 0.042967 0.025080 0.000001 0.490690
ZNF671 0.042967 0.025080 0.000001 0.490690
MPDU1 0.055124 0.024469 0.000001 0.352181
HLA-DRA 0.054271 0.024596 0.539743 0.369353
TMED5 0.046898 0.021161 0.000001 0.429568
TMEM14E 0.051751 0.025605 0.000001 0.373890
PAN3 0.057400 0.025219 0.112243 0.354784
PRR14 0.058939 0.027251 0.255412 0.354041
TGFB1I1 0.058939 0.027251 0.255412 0.354041
LMF2 0.057778 0.024490 0.130295 0.364072
AVPI1 0.048888 0.027443 0.000001 0.380117
ABCC2 0.052645 0.023062 0.000001 0.385516
UGGT1 0.053819 0.023370 0.000001 0.343330
SF3B3 0.044808 0.020576 0.000001 0.446341
IQCE 0.057752 0.029491 0.072426 0.353275
TMEM68 0.046305 0.022156 0.000001 0.427265
BCKDK 0.050538 0.023213 0.000001 0.363068
AQP1 0.045700 0.026247 0.000001 0.440514
SEPT9 0.051531 0.028244 0.000001 0.357459
SIL1 0.058718 0.022481 0.338071 0.363964
MVP 0.043890 0.023843 0.000001 0.397111
FBXO10 0.043890 0.023843 0.000001 0.397111
ELOVL6 0.059661 0.028199 0.404162 0.332984
RPS6KA5 0.053750 0.026556 0.428939 0.372768
PPP4R1L 0.050748 0.027931 0.000001 0.380156
PAPD5 0.050748 0.027931 0.000001 0.380156
CHST15 0.057718 0.027978 0.080319 0.362851
BMP6 0.048681 0.025525 0.000001 0.410479
BCL10 0.056843 0.024118 0.157310 0.359890
ABR 0.057313 0.028084 0.215042 0.373953
RARRES3 0.044071 0.025987 0.000001 0.395138
ZNF10 0.041034 0.022065 0.000001 0.429738
ADAMTS5 0.041034 0.022065 0.000001 0.429738
POLG2 0.049840 0.025807 0.000001 0.363821
C14orf126 0.057569 0.024511 0.149650 0.325024
GYLTL1B 0.057569 0.024511 0.149650 0.325024
ATF6B 0.057569 0.024511 0.149650 0.325024
ZCCHC24 0.057569 0.024511 0.149650 0.325024
C11orf84 0.040657 0.025924 0.000001 0.442105
RAD9A 0.052998 0.025077 0.000001 0.346359
ADAM11 0.049893 0.024010 0.000001 0.380617
TPD52L2 0.055195 0.023725 0.486531 0.368568
HIST1H4E 0.043312 0.026726 0.000001 0.438064
CSDA 0.056892 0.024654 0.022262 0.342367
FBXO5 0.042454 0.025245 0.000001 0.427004
GALNT2 0.056969 0.025209 0.314206 0.369015
ZNF665 0.058798 0.028235 0.288190 0.362205
YME1L1 0.056591 0.022951 0.065531 0.338325
SLC17A5 0.044179 0.023002 0.000001 0.412777
SASS6 0.045672 0.022458 0.000001 0.414838
USP46 0.034733 0.024378 0.000001 0.520045
ACOT11 0.043937 0.027187 0.000001 0.405128
MBP 0.058425 0.027473 0.430811 0.355766
SLC25A23 0.058425 0.027473 0.430811 0.355766
RUNX3 0.056864 0.024598 0.039169 0.358667
EFNB1 0.056864 0.024598 0.039169 0.358667
SLC39A1 0.052530 0.021965 0.000001 0.375377
GOLGA5 0.045140 0.024012 0.000001 0.345891
KPNA6 0.056307 0.022539 0.148206 0.368266
HCK 0.046408 0.025834 0.000001 0.382629
DENND4C 0.045628 0.027297 0.000001 0.421489
ALAD 0.042975 0.027200 0.000001 0.418290
SH3D19 0.035069 0.023599 0.000001 0.522533
LRRC42 0.038927 0.025573 0.000001 0.477543
RPL3L 0.060047 0.028986 0.753548 0.371615
HOXA10 0.056921 0.021862 0.244011 0.360032
DOC2A 0.043619 0.022812 0.000001 0.354788
KIF27 0.056405 0.023288 0.007514 0.361188
PDXP 0.044020 0.025877 0.000001 0.447291
CACNB4 0.055352 0.023752 0.276145 0.358707
LMAN2 0.057117 0.022349 0.184003 0.369920
ICAM2 0.045313 0.023998 0.000001 0.403309
WDR37 0.048252 0.024921 0.000001 0.387062
CD160 0.056332 0.027580 0.010312 0.334610
DNAJC5B 0.054139 0.025572 0.542254 0.321571
ASB2 0.045096 0.028529 0.000001 0.424718
OPA3 0.045096 0.028529 0.000001 0.424718
ASB16 0.056862 0.022215 0.388265 0.339059
WDR59 0.054224 0.024100 0.934585 0.379850
UCHL3 0.048226 0.024326 0.000001 0.386542
SH3BGRL3 0.054532 0.023510 0.502301 0.375011
HRH3 0.056127 0.026259 0.010683 0.359925
N6AMT1 0.055916 0.023446 0.092255 0.346311
ALG5 0.041318 0.024460 0.000001 0.459211
ADSL 0.038311 0.024170 0.000001 0.479404
KCNMB1 0.056848 0.026996 0.251144 0.355980
COL10A1 0.043359 0.025591 0.000001 0.393584
PIK3AP1 0.056167 0.023977 0.063923 0.327397
PHF16 0.056167 0.023977 0.063923 0.327397
IL1R1 0.048116 0.023211 0.000001 0.385373
RNF215 0.051609 0.023223 0.000001 0.359668
GPHN 0.045079 0.026820 0.000001 0.406093
CENPM 0.043305 0.025126 0.000001 0.404298
BUB3 0.039578 0.029475 0.000001 0.445198
CWF19L2 0.054479 0.023333 0.305066 0.365983
ATG4D 0.021582 0.015742 0.000001 0.364472
CD2BP2 0.050628 0.029772 0.000001 0.348931
ZNF263 0.055235 0.023179 0.348533 0.358203
ATP6AP2 0.055235 0.023179 0.348533 0.358203
NCAM1 0.054816 0.025995 0.168290 0.341470
SLC4A2 0.050426 0.024788 0.000001 0.365963
SERINC5 0.056106 0.026087 0.135902 0.336767
CHCHD10 0.055928 0.023716 0.178729 0.385365
SLC12A4 0.059056 0.027460 0.443479 0.351834
C1orf88 0.045914 0.024991 0.000001 0.387388
ANKRD33B 0.051446 0.028024 0.000001 0.365213
DLEC1 0.046365 0.023983 0.000001 0.375306
ADC 0.044530 0.026681 0.000001 0.383758
UVRAG 0.041311 0.024757 0.000001 0.460203
FAAH2 0.041311 0.024757 0.000001 0.460203
ABCA10 0.046496 0.021067 0.000001 0.370723
C6orf211 0.043813 0.025960 0.000001 0.422774
SCML1 0.043813 0.025960 0.000001 0.422774
RIT1 0.055915 0.023257 0.232053 0.343669
ACOT8 0.055915 0.023257 0.232053 0.343669
CSNK1A1L 0.054958 0.021806 0.155806 0.354434
PLEKHH1 0.055520 0.024308 0.063928 0.344016
ARRDC2 0.055300 0.025259 0.092530 0.374082
RNASEH2A 0.052254 0.023596 0.000001 0.357965
DNAJC5 0.040356 0.023464 0.000001 0.403338
RPIA 0.054330 0.023722 0.432475 0.360412
DSEL 0.049804 0.021836 0.000001 0.392758
SPRED2 0.049804 0.021836 0.000001 0.392758
PHF20L1 0.049945 0.025064 0.000001 0.362477
FRRS1 0.055401 0.022996 0.069473 0.365595
CYorf15B 0.055401 0.022996 0.069473 0.365595
EHD1 0.050301 0.023856 0.000001 0.373797
MTF2 0.040871 0.024774 0.000001 0.443669
DLK1 0.055554 0.022363 0.054300 0.362594
WDFY1 0.055478 0.022406 0.002917 0.322728
CHCHD4 0.040553 0.025958 0.000001 0.453215
EXOSC8 0.052951 0.022753 0.000001 0.364671
MEF2A 0.049069 0.028594 0.000001 0.381492
ZNF592 0.050051 0.023612 0.000001 0.377697
CFP 0.050051 0.023612 0.000001 0.377697
MOSPD1 0.050051 0.023612 0.000001 0.377697
CSRP1 0.040509 0.022158 0.000001 0.359502
TP63 0.055965 0.024416 0.103091 0.329839
CHML 0.043829 0.027271 0.000001 0.407686
H2AFV 0.047477 0.022361 0.000001 0.365732
TRMT5 0.055385 0.028069 0.082605 0.326897
CX3CR1 0.040655 0.020401 0.000001 0.378966
P2RY12 0.055483 0.021397 0.042227 0.315451
VEGFB 0.055252 0.023827 0.037341 0.313287
RG9MTD2 0.047157 0.024876 0.000001 0.392370
NICN1 0.055234 0.027603 0.197167 0.297599
ROBO4 0.058790 0.024019 0.791298 0.361939
STXBP1 0.047950 0.022906 0.000001 0.376410
NCEH1 0.038696 0.026359 0.000001 0.454010
ACSL3 0.040191 0.024548 0.000001 0.459813
MAGI2 0.047024 0.027137 0.000001 0.388216
MAPK8IP2 0.046956 0.023142 0.000001 0.405081
NT5C3 0.056467 0.023279 0.714910 0.364377
NBR1 0.046759 0.021207 0.000001 0.397155
ZFY 0.046759 0.021207 0.000001 0.397155
TMEM88 0.053386 0.025130 0.372872 0.355605
TOM1L2 0.050065 0.022100 0.000001 0.360423
SLC12A9 0.049062 0.023721 0.000001 0.345769
IMPDH1 0.049791 0.024785 0.000001 0.381353
ZNF587 0.046931 0.026231 0.000001 0.383104
PKHD1L1 0.055940 0.021631 0.366687 0.370251
CCDC107 0.055940 0.021631 0.366687 0.370251
GPR107 0.039694 0.027098 0.000001 0.470590
FIG4 0.041771 0.022091 0.000001 0.441646
STX4 0.055103 0.022513 0.122941 0.322991
EFHC1 0.054977 0.025322 0.229228 0.361169
DBI 0.054977 0.025322 0.229228 0.361169
EIF3B 0.054819 0.023577 0.041112 0.367885
STAP2 0.055065 0.023467 0.074254 0.274049
DDX42 0.041278 0.020019 0.000001 0.405754
OXR1 0.041278 0.020019 0.000001 0.405754
G3BP2 0.046914 0.022864 0.000001 0.389353
C5orf58 0.046068 0.024119 0.000001 0.422770
HHATL 0.046068 0.024119 0.000001 0.422770
TAS2R4 0.046068 0.024119 0.000001 0.422770
LYPLAL1 0.054862 0.021909 0.035712 0.344478
UBE4B 0.055073 0.024496 0.186397 0.361482
TPRN 0.054939 0.023261 0.151168 0.364808
LCN10 0.055594 0.023507 0.492994 0.360169
TEKT2 0.039988 0.021190 0.000001 0.482145
DNTT 0.042467 0.024134 0.000001 0.452512
ACVR2A 0.054573 0.021926 0.112743 0.375524
ZNF813 0.054573 0.021926 0.112743 0.375524
MARCH9 0.051249 0.022789 0.000001 0.340043
ZNF512B 0.054110 0.026621 0.376574 0.381147
PCDH1 0.053548 0.024487 0.344006 0.352627
HEXIM2 0.055195 0.024935 0.489323 0.338003
MIOS 0.047106 0.023974 0.000001 0.385309
POLE3 0.048124 0.027308 0.000001 0.400895
TOX 0.054107 0.023545 0.137351 0.366208
FNTA 0.054358 0.023471 0.082372 0.351756
PDCL3 0.047842 0.021831 0.000001 0.395660
CNR2 0.054528 0.024489 0.014082 0.368569
RAD23B 0.055093 0.023738 0.415876 0.369422
VCAN 0.054737 0.022185 0.723094 0.384754
TMOD3 0.054709 0.025393 0.135107 0.353652
COX16 0.054709 0.025393 0.135107 0.353652
RSBN1L 0.054173 0.022899 0.032996 0.355045
VASP 0.048931 0.025528 0.693266 0.360278
EEFSEC 0.054244 0.019400 0.233797 0.373058
SRMS 0.054406 0.024868 0.020839 0.317817
CCDC117 0.052382 0.024478 0.460939 0.388719
CDK7 0.040776 0.022912 0.000001 0.444464
PNP 0.037587 0.023913 0.000001 0.360694
CPS1 0.055091 0.022734 0.207457 0.329904
MORF4L1 0.053749 0.023430 0.136081 0.358339
AP3M2 0.052416 0.020860 0.729965 0.362206
ERI1 0.051635 0.026342 0.000001 0.395310
C15orf41 0.040304 0.025351 0.000001 0.451448
SBF1 0.055122 0.025240 0.222351 0.373872
RDM1 0.054258 0.020635 0.030532 0.359709
LRRC17 0.052664 0.024479 0.283187 0.377710
HPRT1 0.052664 0.024479 0.283187 0.377710
DGAT2 0.050670 0.021066 0.000001 0.352805
YWHAZ 0.051412 0.025576 0.000001 0.363359
PIGK 0.043025 0.022474 0.000001 0.427511
HERC3 0.054366 0.022372 0.113106 0.351106
DCAF8L1 0.054366 0.022372 0.113106 0.351106
DNAH3 0.049025 0.024814 0.000001 0.371927
ITM2B 0.054562 0.023128 0.691766 0.371705
CCDC42 0.054028 0.024661 0.146180 0.333079
ATP13A3 0.027837 0.018471 0.000001 0.324813
BIN2 0.041847 0.025492 0.000001 0.408765
AKT3 0.045705 0.023215 0.000001 0.401776
PRKRA 0.045094 0.024599 0.000001 0.389522
ACVR1C 0.047462 0.023461 0.000001 0.382502
C7orf31 0.053836 0.024698 0.051865 0.369040
BRP44 0.053972 0.021241 0.785763 0.370396
ETS2 0.049048 0.025799 0.000001 0.382193
NUP88 0.049286 0.023238 0.000001 0.382550
PGBD4 0.040503 0.020606 0.000001 0.379034
MARS2 0.050639 0.023300 0.000001 0.359610
TMEM43 0.028297 0.016622 0.000001 0.361828
CDK9 0.047893 0.021819 0.000001 0.400471
ZMAT2 0.044454 0.024922 0.000001 0.367239
PHOSPHO1 0.053830 0.025613 0.103316 0.320538
MYO6 0.046470 0.021790 0.000001 0.377059
ATP11B 0.045256 0.020757 0.000001 0.396277
CHD4 0.047400 0.023879 0.000001 0.416673
CTTN 0.054507 0.023739 0.201097 0.365819
FGFBP2 0.049026 0.023716 0.000001 0.376780
ARHGEF6 0.049026 0.023716 0.000001 0.376780
OSBPL7 0.051301 0.022600 0.446406 0.359866
SAE1 0.042868 0.025926 0.000001 0.421741
PRCD 0.044043 0.025684 0.000001 0.373407
SULT1B1 0.044128 0.019708 0.000001 0.399957
C19orf76 0.052200 0.025008 0.649206 0.363273
MAML2 0.050001 0.026282 0.000001 0.362356
ABCB8 0.045852 0.024918 0.000001 0.390746
TSPAN1 0.042385 0.024507 0.000001 0.411677
SPPL3 0.048328 0.023014 0.000001 0.388562
HAUS6 0.041881 0.026610 0.000001 0.437766
CACNA1E 0.054552 0.024953 0.354045 0.377057
UQCRC2 0.045532 0.022561 0.000001 0.368896
TRAPPC10 0.041121 0.024295 0.000001 0.433776
TMC5 0.039318 0.023113 0.000001 0.514358
KIAA1161 0.044885 0.021203 0.000001 0.427396
SLC43A1 0.044885 0.021203 0.000001 0.427396
NAV3 0.053431 0.026434 0.048693 0.374502
MAPK14 0.031326 0.017855 0.000001 0.360439
AMIGO3 0.053374 0.030518 0.071550 0.351282
TMX3 0.047022 0.021608 0.000001 0.375296
PHF14 0.047022 0.021608 0.000001 0.375296
FAM3A 0.047022 0.021608 0.000001 0.375296
NFKB1 0.054922 0.023801 0.300779 0.344480
OLFML2B 0.054187 0.023403 0.364315 0.374249
TIMM44 0.053114 0.024178 0.172459 0.362158
SOS2 0.053525 0.024522 0.511240 0.374106
OCIAD1 0.053250 0.023182 0.025968 0.357612
ELOVL4 0.054146 0.024306 0.578600 0.368911
PARD3 0.053163 0.021604 0.016418 0.353476
MBD5 0.053117 0.020763 0.543275 0.369380
FAM126B 0.052328 0.020784 0.441609 0.381837
PRKCD 0.043439 0.022749 0.000001 0.404214
TGM2 0.041529 0.024528 0.000001 0.414510
IFNGR1 0.050738 0.023463 0.000001 0.353121
MMP14 0.052515 0.025747 0.171203 0.361201
KLHL15 0.052515 0.025747 0.171203 0.361201
C19orf70 0.052304 0.024767 0.654058 0.379650
MRPL38 0.036359 0.025995 0.000001 0.465098
FAM82A1 0.039840 0.023190 0.000001 0.437628
USP37 0.053200 0.022189 0.514170 0.375574
SNRNP35 0.041249 0.022196 0.000001 0.435003
GRIK1 0.003635 0.006854 0.000001 0.357373
UNC13B 0.051928 0.023266 0.436902 0.362084
SLC12A6 0.053149 0.023074 0.177516 0.363796
EID2B 0.048324 0.020900 0.000001 0.373794
NRARP 0.046458 0.026818 0.000001 0.387297
LRRC8A 0.043802 0.023023 0.000001 0.434870
DDX24 0.043802 0.023023 0.000001 0.434870
STAG3 0.042138 0.023364 0.000001 0.437971
NUP153 0.043144 0.024394 0.000001 0.392027
ZNF260 0.036722 0.023446 0.000001 0.468134
MEX3B 0.047533 0.022643 0.000001 0.383811
FOXJ1 0.052832 0.023022 0.249052 0.343438
TMEM108 0.044063 0.023552 0.000001 0.409558
IGSF6 0.045519 0.021663 0.000001 0.395402
UBAC2 0.053005 0.023079 0.118579 0.396195
CBWD6 0.053005 0.023079 0.118579 0.396195
SIPA1 0.052273 0.023540 0.338734 0.361961
VPS54 0.039275 0.023136 0.000001 0.449182
RASGRP1 0.053211 0.024462 0.213314 0.373973
PRRG2 0.052476 0.024398 0.280979 0.342792
MTA3 0.045640 0.022112 0.000001 0.413992
FOXO4 0.045640 0.022112 0.000001 0.413992
TMEM64 0.036708 0.022862 0.000001 0.444001
C1D 0.041621 0.024270 0.000001 0.395116
ABHD3 0.041487 0.020933 0.000001 0.389510
PLAT 0.052029 0.020858 0.637429 0.366910
UBE2Q2 0.038976 0.025684 0.000001 0.405336
DLG1 0.038976 0.025684 0.000001 0.405336
RINL 0.052464 0.021103 0.009154 0.357197
RPS11 0.051312 0.023324 0.610633 0.355034
LGALS3BP 0.028607 0.022361 0.000001 0.321987
CARNS1 0.052812 0.023437 0.266975 0.349339
C19orf52 0.052812 0.023437 0.266975 0.349339
PLBD1 0.045899 0.021773 0.000001 0.345529
KCNN3 0.042621 0.024336 0.000001 0.375401
CFL1 0.053803 0.022448 0.649265 0.355227
TMEM170B 0.052368 0.023148 0.361809 0.364564
C18orf32 0.048776 0.022518 0.000001 0.335219
DCAF6 0.046735 0.023955 0.000001 0.360102
POGK 0.042269 0.022236 0.000001 0.421504
RBM41 0.042269 0.022236 0.000001 0.421504
FBXL16 0.049904 0.022790 0.000001 0.339612
TGFA 0.042559 0.023854 0.000001 0.377434
AP2M1 0.052280 0.023249 0.003332 0.356854
NDUFB3 0.042227 0.025004 0.000001 0.398169
PFKFB4 0.041355 0.027327 0.000001 0.411870
GALM 0.050912 0.021639 0.602559 0.357829
KIAA1984 0.052234 0.022346 0.168465 0.379821
HADHB 0.051571 0.022027 0.199061 0.384916
TRIM17 0.051231 0.023910 0.441189 0.367203
GCC1 0.045684 0.020090 0.000001 0.402803
GNS 0.053897 0.023186 0.859123 0.366522
N6AMT2 0.043003 0.023901 0.000001 0.391844
ANKRD16 0.041719 0.028164 0.000001 0.443102
PLXNA4 0.028134 0.018693 0.000001 0.365571
MED11 0.052156 0.026093 0.058378 0.339832
PTRF 0.051645 0.025628 0.139921 0.370185
TLR2 0.054702 0.024463 0.649292 0.361565
NUP54 0.045433 0.022225 0.000001 0.361060
RNLS 0.052628 0.024240 0.155874 0.352270
CBFA2T3 0.050561 0.022881 0.890463 0.354527
KCNIP2 0.052259 0.020591 0.460945 0.377420
POC1B 0.042387 0.023328 0.000001 0.377532
WBP1 0.046134 0.023715 0.000001 0.398030
LTB 0.050233 0.023840 0.162569 0.365012
TMCC1 0.051933 0.022412 0.005381 0.353417
PCYOX1 0.042590 0.022018 0.000001 0.409862
FGF11 0.041248 0.024562 0.000001 0.419342
KLK14 0.046265 0.027468 0.000001 0.379344
CEP170 0.046265 0.027468 0.000001 0.379344
SEC11A 0.043672 0.021853 0.000001 0.414998
MX2 0.056074 0.032578 0.608923 0.378042
CRTC3 0.052034 0.020904 0.394197 0.387444
TMEM127 0.053015 0.024451 0.329398 0.354774
THSD1 0.047542 0.021486 0.000001 0.391698
RUFY3 0.047542 0.021486 0.000001 0.391698
NUDT9 0.046454 0.022922 0.000001 0.384624
C4orf52 0.035467 0.028628 0.000001 0.452022
MKI67 0.049251 0.023404 0.379593 0.368009
IQCD 0.052225 0.024015 0.059595 0.365095
PIWIL4 0.045738 0.022178 0.000001 0.401394
PRSS21 0.051770 0.022230 0.433128 0.360457
ORMDL1 0.051857 0.022270 0.046456 0.358379
HMOX2 0.045528 0.022865 0.000001 0.400879
DDHD1 0.049365 0.021758 0.000001 0.350672
TOR1AIP1 0.045379 0.021611 0.000001 0.388384
PAK6 0.039692 0.022762 0.000001 0.361059
SPPL2B 0.047295 0.025861 0.574584 0.364950
KCNC4 0.047867 0.025414 0.000001 0.372965
UBXN2B 0.051713 0.022884 0.071381 0.357920
UBLCP1 0.051689 0.022714 0.043534 0.354304
MRPS35 0.043611 0.023521 0.000001 0.390790
MAST2 0.047395 0.021064 0.000001 0.334051
ZNF709 0.047395 0.021064 0.000001 0.334051
ZXDC 0.051499 0.022185 0.062148 0.358799
GMPS 0.043148 0.022343 0.000001 0.376758
CYHR1 0.040897 0.022060 0.000001 0.430543
RALGAPA2 0.051435 0.024705 0.077397 0.361623
DVL2 0.041964 0.022928 0.000001 0.414822
LIMD2 0.040652 0.019926 0.000001 0.441018
PLCD3 0.043774 0.021118 0.000001 0.392094
PATZ1 0.045381 0.021623 0.000001 0.406313
METTL14 0.038994 0.022958 0.000001 0.417680
RFFL 0.051389 0.022257 0.032928 0.336813
INO80B 0.052033 0.020780 0.649898 0.371595
MAGI3 0.042165 0.024015 0.000001 0.388524
NAMPT 0.047509 0.024092 0.000001 0.379728
SLC25A17 0.048015 0.022998 0.000001 0.357153
NCF4 0.042579 0.024496 0.000001 0.415462
LDLRAD2 0.018274 0.015486 0.000001 0.351099
DERL1 0.047731 0.023142 0.000001 0.383841
FHOD3 0.047731 0.023142 0.000001 0.383841
PHF10 0.052212 0.020522 0.446897 0.359713
STMN1 0.052212 0.020522 0.446897 0.359713
PPP2R3A 0.047346 0.019523 0.000001 0.313758
PDGFC 0.037724 0.022372 0.000001 0.456161
ARMCX2 0.037724 0.022372 0.000001 0.456161
MOB2 0.052786 0.024476 0.534038 0.375575
GTF3C4 0.048839 0.025373 0.425742 0.366581
MYO7A 0.050394 0.025467 0.138479 0.337036
UBE4A 0.042688 0.024767 0.000001 0.425308
C2orf82 0.049169 0.023876 0.347096 0.361531
BCL2A1 0.042055 0.026408 0.000001 0.391522
COL24A1 0.048088 0.023140 0.000001 0.391511
PLA2G12A 0.050763 0.020999 0.334586 0.361042
ALPK3 0.045060 0.020637 0.000001 0.375278
IL16 0.045060 0.020637 0.000001 0.375278
MST1 0.053609 0.034702 0.148851 0.328426
MTX2 0.050947 0.022603 0.005214 0.359983
STAU2 0.038656 0.022776 0.000001 0.462004
ID2 0.036146 0.024327 0.000001 0.488309
ZNF616 0.041982 0.027619 0.000001 0.386952
HTR3A 0.036236 0.019098 0.000001 0.311478
TOP1MT 0.038728 0.022728 0.000001 0.473835
EFNA3 0.040764 0.020593 0.000001 0.405404
TRIM13 0.038800 0.021332 0.000001 0.326054
HACE1 0.043708 0.021329 0.000001 0.372231
B3GNT9 0.045260 0.023000 0.000001 0.362019
IL27 0.035817 0.021877 0.000001 0.411320
APBB3 0.042828 0.021064 0.000001 0.409067
NFATC2IP 0.051483 0.024151 0.196621 0.356067
EEF1E1 0.035280 0.024245 0.000001 0.485972
ZNF473 0.050885 0.023372 0.039227 0.301814
MTM1 0.050885 0.023372 0.039227 0.301814
C2orf68 0.049137 0.023692 0.401245 0.371226
USP48 0.050675 0.024192 0.113666 0.340781
PTGS2 0.044965 0.022759 0.000001 0.357881
BCAM 0.045042 0.024946 0.000001 0.354052
ZDHHC8 0.050844 0.022109 0.135986 0.366548
PIAS2 0.044348 0.021414 0.000001 0.396951
ZNF469 0.040775 0.025261 0.000001 0.378847
ZNF532 0.043020 0.025691 0.000001 0.416220
UBA6 0.054084 0.026805 0.400531 0.369704
SLC2A3 0.038165 0.024546 0.000001 0.409938
DTX3 0.049883 0.023276 0.803811 0.358373
ARMCX4 0.049883 0.023276 0.803811 0.358373
TMEM183A 0.042886 0.023375 0.000001 0.364814
TMEM175 0.050485 0.023236 0.009506 0.337871
SMAD6 0.050315 0.021873 0.241038 0.361485
TM2D3 0.044104 0.021440 0.000001 0.384405
LIMCH1 0.050870 0.024484 0.103917 0.374903
PPP6R2 0.031827 0.018497 0.000001 0.351413
OBFC1 0.040517 0.022989 0.000001 0.424322
NRIP1 0.040517 0.022989 0.000001 0.424322
FCGR2A 0.051158 0.026406 0.547145 0.363080
N4BP2L1 0.039954 0.021760 0.000001 0.402632
ZNF124 0.049980 0.021074 0.296958 0.368778
GBA 0.046009 0.021717 0.000001 0.371530
HBE1 0.051041 0.026242 0.369222 0.366279
C20orf197 0.040345 0.026079 0.000001 0.394851
NEU1 0.049369 0.023292 0.085170 0.376017
ERI2 0.044795 0.023381 0.000001 0.348132
CDKN2D 0.044795 0.023381 0.000001 0.348132
PELI1 0.050779 0.023441 0.105224 0.317631
MUM1 0.003174 0.015947 0.000001 0.369792
CEP55 0.051679 0.024776 0.471700 0.361165
CD3D 0.047400 0.023590 0.000001 0.391671
ALKBH8 0.046468 0.021091 0.000001 0.371408
TMEM56 0.050749 0.021529 0.216929 0.369996
COG1 0.039276 0.026195 0.000001 0.444849
HDAC3 0.049069 0.020385 0.308128 0.353214
KIAA1033 0.041304 0.022241 0.000001 0.391765
ANKRD2 0.047697 0.022635 0.000001 0.365066
EIF5 0.051420 0.023351 0.544460 0.369439
MAPKAP1 0.039046 0.020949 0.000001 0.408194
CTLA4 0.049631 0.023191 0.098643 0.353629
CLIP4 0.049720 0.022125 0.223302 0.380321
NF1 0.049835 0.020825 0.112914 0.347354
CNOT2 0.048687 0.022420 0.300665 0.384842
PMFBP1 0.048687 0.022420 0.300665 0.384842
DCAF16 0.040371 0.019740 0.000001 0.401847
ATAD3A 0.049879 0.020820 0.338399 0.380294
ERRFI1 0.036596 0.024521 0.000001 0.488684
TRIP12 0.046181 0.022298 0.000001 0.376470
CCDC18 0.046616 0.020089 0.000001 0.375568
NUDT6 0.051434 0.021985 0.407519 0.366744
C14orf80 0.046092 0.021161 0.000001 0.365015
TTLL4 0.041414 0.019866 0.000001 0.400020
LYPD3 0.040413 0.024423 0.000001 0.397355
RFX2 0.050768 0.024819 0.251213 0.362090
EIF4A3 0.042958 0.026563 0.000001 0.379653
RNF125 0.044967 0.025954 0.000001 0.384693
GMPR2 0.047265 0.023013 0.000001 0.373741
CCDC73 0.049718 0.021129 0.011374 0.352382
FAM149B1 0.048366 0.024715 0.484926 0.352373
GOLT1B 0.035590 0.022724 0.000001 0.466612
CDKN2AIP 0.034846 0.028311 0.000001 0.417289
SGMS1 0.045674 0.021354 0.000001 0.336207
ITGAE 0.044576 0.027387 0.000001 0.346262
PLK2 0.043795 0.021192 0.000001 0.389920
CDC42EP2 0.045922 0.023393 0.000001 0.380000
KLHDC10 0.043121 0.023438 0.000001 0.411394
DHRS4 0.042664 0.025982 0.000001 0.377713
NAT8L 0.049502 0.024095 0.132195 0.346271
NDUFB9 0.049690 0.023523 0.054292 0.356530
SIK3 0.041954 0.025137 0.000001 0.389162
ATP6V0B 0.038431 0.017914 0.000001 0.364987
HRASLS5 0.044624 0.022462 0.000001 0.379766
TMUB1 0.047151 0.025074 0.599039 0.384969
CHST10 0.049695 0.022717 0.666114 0.351147
CLIP2 0.048583 0.022752 0.368661 0.389411
ADO 0.049355 0.019436 0.110580 0.373631
CPLX2 0.049586 0.023731 0.306958 0.344501
GPBAR1 0.051549 0.021830 0.948431 0.353390
USP24 0.045853 0.021123 0.000001 0.367594
ARFGEF2 0.049579 0.021627 0.098913 0.317350
C11orf45 0.043139 0.023307 0.000001 0.398321
NFKBIL1 0.048926 0.023871 0.132885 0.375978
CORO1A 0.041519 0.024286 0.000001 0.375807
IQSEC1 0.033385 0.025995 0.000001 0.451073
DCLRE1B 0.049453 0.022030 0.114420 0.318157
SOCS6 0.041647 0.024874 0.000001 0.375978
SH3GL1 0.048257 0.024450 0.272515 0.378667
KPNA1 0.043128 0.024793 0.000001 0.407671
MED31 0.043128 0.024793 0.000001 0.407671
SLC3A1 0.048212 0.023242 0.189457 0.381239
ACD 0.039558 0.022137 0.000001 0.431178
IL2RB 0.039558 0.022137 0.000001 0.431178
FZD7 0.049334 0.023537 0.317545 0.346881
AIMP2 0.042658 0.020939 0.000001 0.350224
GDF10 0.042658 0.020939 0.000001 0.350224
ZFP37 0.046101 0.025318 0.000001 0.356998
ZNF90 0.044615 0.021145 0.000001 0.358672
POLD2 0.040948 0.022390 0.000001 0.373357
ALAS1 0.035544 0.024100 0.000001 0.449159
LDB2 0.050307 0.023404 0.273173 0.324248
EPS8 0.048176 0.025751 0.133287 0.367786
